Day,Condition,Acquisition_Date,Well,Sample_File,Live_Cell_Pct,GFP_Positive_Pct,GFP_GeoMean,Notes
D1,,,F4,F4.fcs,,,,
D1,,,F5,F5.fcs,,,,
D1,,,F6,F6.fcs,,,,
D1,,,F7,F7.fcs,,,,
D1,,,F8,F8.fcs,,,,
D1,,,F9,F9.fcs,,,,
D1,,,F10,F10.fcs,,,,
D1,,,F11,F11.fcs,,,,
D1,,,F12,F12.fcs,,,,
D1,,,G1,G1.fcs,,,,
D1,,,G2,G2.fcs,,,,
D1,,,G3,G3.fcs,,,,
D1,,,G4,G4.fcs,,,,
D1,,,G5,G5.fcs,,,,
D1,,,G6,G6.fcs,,,,
D1,,,G7,G7.fcs,,,,
D1,,,G8,G8.fcs,,,,
D1,,,G9,G9.fcs,,,,
D1,,,G10,G10.fcs,,,,
D1,,,G11,G11.fcs,,,,
D1,,,G12,G12.fcs,,,,
D1,,,H1,H1.fcs,,,,
D1,,,H2,H2.fcs,,,,
D1,,,H3,H3.fcs,,,,
D1,,,H4,H4.fcs,,,,
D1,,,H5,H5.fcs,,,,
D1,,,H6,H6.fcs,,,,
D1,,,H7,H7.fcs,,,,
D1,,,H8,H8.fcs,,,,
D1,,,H9,H9.fcs,,,,
D1,,,H10,H10.fcs,,,,
D1,,,H11,H11.fcs,,,,
D1,,,H12,H12.fcs,,,,
D3,,,A1,A1.fcs,,,,
D3,,,A2,A2.fcs,,,,
D3,,,A3,A3.fcs,,,,
D3,,,A4,A4.fcs,,,,
D3,,,A5,A5.fcs,,,,
D3,,,A6,A6.fcs,,,,
D3,,,A7,A7.fcs,,,,
D3,,,A8,A8.fcs,,,,
D3,,,A9,A9.fcs,,,,
D3,,,A10,A10.fcs,,,,
D3,,,A11,A11.fcs,,,,
D3,,,A12,A12.fcs,,,,
D3,,,B1,B1.fcs,,,,
D3,,,B2,B2.fcs,,,,
D3,,,B3,B3.fcs,,,,
D3,,,B4,B4.fcs,,,,
D3,,,B5,B5.fcs,,,,
D3,,,B6,B6.fcs,,,,
D3,,,B7,B7.fcs,,,,
D3,,,B8,B8.fcs,,,,
D3,,,B9,B9.fcs,,,,
D3,,,B10,B10.fcs,,,,
D3,,,B11,B11.fcs,,,,
D3,,,B12,B12.fcs,,,,
D3,,,C1,C1.fcs,,,,
D3,,,C2,C2.fcs,,,,
D3,,,C3,C3.fcs,,,,
D3,,,C4,C4.fcs,,,,
D3,,,C5,C5.fcs,,,,
D3,,,C6,C6.fcs,,,,
D3,,,C7,C7.fcs,,,,
D3,,,C8,C8.fcs,,,,
D3,,,C9,C9.fcs,,,,
D3,,,C10,C10.fcs,,,,
D3,,,C11,C11.fcs,,,,
D3,,,C12,C12.fcs,,,,
D3,,,D1,D1.fcs,,,,
D3,,,D2,D2.fcs,,,,
D3,,,D3,D3.fcs,,,,
D3,,,D4,D4.fcs,,,,
D3,,,D5,D5.fcs,,,,
D3,,,D6,D6.fcs,,,,
D3,,,D7,D7.fcs,,,,
D3,,,D8,D8.fcs,,,,
D3,,,D9,D9.fcs,,,,
D3,,,D10,D10.fcs,,,,
D3,,,D11,D11.fcs,,,,
D3,,,D12,D12.fcs,,,,
D3,,,E1,E1.fcs,,,,
D3,,,E2,E2.fcs,,,,
D3,,,E3,E3.fcs,,,,
D3,,,E4,E4.fcs,,,,
D3,,,E5,E5.fcs,,,,
D3,,,E6,E6.fcs,,,,
D3,,,E7,E7.fcs,,,,
D3,,,E8,E8.fcs,,,,
D3,,,E9,E9.fcs,,,,
D3,,,E10,E10.fcs,,,,
D3,,,E11,E11.fcs,,,,
D3,,,E12,E12.fcs,,,,
D3,,,F1,F1.fcs,,,,
D3,,,F2,F2.fcs,,,,
D3,,,F3,F3.fcs,,,,
D3,,,F4,F4.fcs,,,,
D3,,,F5,F5.fcs,,,,
D3,,,F6,F6.fcs,,,,
D3,,,F7,F7.fcs,,,,
D3,,,F8,F8.fcs,,,,
D3,,,F9,F9.fcs,,,,
D3,,,F10,F10.fcs,,,,
D3,,,F11,F11.fcs,,,,
D3,,,F12,F12.fcs,,,,
D3,,,G1,G1.fcs,,,,
D3,,,G2,G2.fcs,,,,
D3,,,G3,G3.fcs,,,,
D3,,,G4,G4.fcs,,,,
D3,,,G5,G5.fcs,,,,
D3,,,G6,G6.fcs,,,,
D3,,,G7,G7.fcs,,,,
D3,,,G8,G8.fcs,,,,
D3,,,G9,G9.fcs,,,,
D3,,,G10,G10.fcs,,,,
D3,,,G11,G11.fcs,,,,
D3,,,G12,G12.fcs,,,,
D3,,,H1,H1.fcs,,,,
D3,,,H2,H2.fcs,,,,
D3,,,H3,H3.fcs,,,,
D3,,,H4,H4.fcs,,,,
D3,,,H5,H5.fcs,,,,
D3,,,H6,H6.fcs,,,,
D3,,,H7,H7.fcs,,,,
D3,,,H8,H8.fcs,,,,
D3,,,H9,H9.fcs,,,,
D3,,,H10,H10.fcs,,,,
D3,,,H11,H11.fcs,,,,
D3,,,H12,H12.fcs,,,,
D5,,,A1,A1.fcs,,,,
D5,,,A2,A2.fcs,,,,
D5,,,A3,A3.fcs,,,,
D5,,,A4,A4.fcs,,,,
D5,,,A5,A5.fcs,,,,
D5,,,A6,A6.fcs,,,,
D5,,,A7,A7.fcs,,,,
D5,,,A8,A8.fcs,,,,
D5,,,A9,A9.fcs,,,,
D5,,,A10,A10.fcs,,,,
D5,,,A11,A11.fcs,,,,
D5,,,A12,A12.fcs,,,,
D5,,,B1,B1.fcs,,,,
D5,,,B2,B2.fcs,,,,
D5,,,B3,B3.fcs,,,,
D5,,,B4,B4.fcs,,,,
D5,,,B5,B5.fcs,,,,
D5,,,B6,B6.fcs,,,,
D5,,,B7,B7.fcs,,,,
D5,,,B8,B8.fcs,,,,
D5,,,B9,B9.fcs,,,,
D5,,,B10,B10.fcs,,,,
D5,,,B11,B11.fcs,,,,
D5,,,B12,B12.fcs,,,,
D5,,,C1,C1.fcs,,,,
D5,,,C2,C2.fcs,,,,
D5,,,C3,C3.fcs,,,,
D5,,,C4,C4.fcs,,,,
D5,,,C5,C5.fcs,,,,
D5,,,C6,C6.fcs,,,,
D5,,,C7,C7.fcs,,,,
D5,,,C8,C8.fcs,,,,
D5,,,C9,C9.fcs,,,,
D5,,,C10,C10.fcs,,,,
D5,,,C11,C11.fcs,,,,
D5,,,C12,C12.fcs,,,,
D5,,,D1,D1.fcs,,,,
D5,,,D2,D2.fcs,,,,
D5,,,D3,D3.fcs,,,,
D5,,,D4,D4.fcs,,,,
D5,,,D5,D5.fcs,,,,
D5,,,D6,D6.fcs,,,,
D5,,,D7,D7.fcs,,,,
D5,,,D8,D8.fcs,,,,
D5,,,D9,D9.fcs,,,,
D5,,,D10,D10.fcs,,,,
D5,,,D11,D11.fcs,,,,
D5,,,D12,D12.fcs,,,,
D5,,,E1,E1.fcs,,,,
D5,,,E2,E2.fcs,,,,
D5,,,E3,E3.fcs,,,,
D5,,,E4,E4.fcs,,,,
D5,,,E5,E5.fcs,,,,
D5,,,E6,E6.fcs,,,,
D5,,,E7,E7.fcs,,,,
D5,,,E8,E8.fcs,,,,
D5,,,E9,E9.fcs,,,,
D5,,,E10,E10.fcs,,,,
D5,,,E11,E11.fcs,,,,
D5,,,E12,E12.fcs,,,,
D5,,,F1,F1.fcs,,,,
D5,,,F2,F2.fcs,,,,
D5,,,F3,F3.fcs,,,,
D5,,,F4,F4.fcs,,,,
D5,,,F5,F5.fcs,,,,
D5,,,F6,F6.fcs,,,,
D5,,,F7,F7.fcs,,,,
D5,,,F8,F8.fcs,,,,
D5,,,F9,F9.fcs,,,,
D5,,,F10,F10.fcs,,,,
D5,,,F11,F11.fcs,,,,
D5,,,F12,F12.fcs,,,,
D5,,,G1,G1.fcs,,,,
D5,,,G2,G2.fcs,,,,
D5,,,G3,G3.fcs,,,,
D5,,,G4,G4.fcs,,,,
D5,,,G5,G5.fcs,,,,
D5,,,G6,G6.fcs,,,,
D5,,,G7,G7.fcs,,,,
D5,,,G8,G8.fcs,,,,
D5,,,G9,G9.fcs,,,,
D5,,,G10,G10.fcs,,,,
D5,,,G11,G11.fcs,,,,
D5,,,G12,G12.fcs,,,,
D5,,,H1,H1.fcs,,,,
D5,,,H2,H2.fcs,,,,
D5,,,H3,H3.fcs,,,,
D5,,,H4,H4.fcs,,,,
D5,,,H5,H5.fcs,,,,
D5,,,H6,H6.fcs,,,,
D5,,,H7,H7.fcs,,,,
D5,,,H8,H8.fcs,,,,
D5,,,H9,H9.fcs,,,,
D5,,,H10,H10.fcs,,,,
D5,,,H11,H11.fcs,,,,
D5,,,H12,H12.fcs,,,,
D7,,,A1,A1.fcs,,,,
D7,,,A2,A2.fcs,,,,
D7,,,A3,A3.fcs,,,,
D7,,,A4,A4.fcs,,,,
D7,,,A5,A5.fcs,,,,
D7,,,A6,A6.fcs,,,,
D7,,,A7,A7.fcs,,,,
D7,,,A8,A8.fcs,,,,
D7,,,A9,A9.fcs,,,,
D7,,,A10,A10.fcs,,,,
D7,,,A11,A11.fcs,,,,
D7,,,A12,A12.fcs,,,,
D7,,,B1,B1.fcs,,,,
D7,,,B2,B2.fcs,,,,
D7,,,B3,B3.fcs,,,,
D7,,,B4,B4.fcs,,,,
D7,,,B5,B5.fcs,,,,
D7,,,B6,B6.fcs,,,,
D7,,,B7,B7.fcs,,,,
D7,,,B8,B8.fcs,,,,
D7,,,B9,B9.fcs,,,,
D7,,,B10,B10.fcs,,,,
D7,,,B11,B11.fcs,,,,
D7,,,B12,B12.fcs,,,,
D7,,,C1,C1.fcs,,,,
D7,,,C2,C2.fcs,,,,
D7,,,C3,C3.fcs,,,,
D7,,,C4,C4.fcs,,,,
D7,,,C5,C5.fcs,,,,
D7,,,C6,C6.fcs,,,,
D7,,,C7,C7.fcs,,,,
D7,,,C8,C8.fcs,,,,
D7,,,C9,C9.fcs,,,,
D7,,,C10,C10.fcs,,,,
D7,,,C11,C11.fcs,,,,
D7,,,C12,C12.fcs,,,,
D7,,,D1,D1.fcs,,,,
D7,,,D2,D2.fcs,,,,
D7,,,D3,D3.fcs,,,,
D7,,,D4,D4.fcs,,,,
D7,,,D5,D5.fcs,,,,
D7,,,D6,D6.fcs,,,,
D7,,,D7,D7.fcs,,,,
D7,,,D8,D8.fcs,,,,
D7,,,D9,D9.fcs,,,,
D7,,,D10,D10.fcs,,,,
D7,,,D11,D11.fcs,,,,
D7,,,D12,D12.fcs,,,,
D7,,,E1,E1.fcs,,,,
D7,,,E2,E2.fcs,,,,
D7,,,E3,E3.fcs,,,,
D7,,,E4,E4.fcs,,,,
D7,,,E5,E5.fcs,,,,
D7,,,E6,E6.fcs,,,,
D7,,,E7,E7.fcs,,,,
D7,,,E8,E8.fcs,,,,
D7,,,E9,E9.fcs,,,,
D7,,,E10,E10.fcs,,,,
D7,,,E11,E11.fcs,,,,
D7,,,E12,E12.fcs,,,,
D7,,,F1,F1.fcs,,,,
D7,,,F2,F2.fcs,,,,
D7,,,F3,F3.fcs,,,,
D7,,,F4,F4.fcs,,,,
D7,,,F5,F5.fcs,,,,
D7,,,F6,F6.fcs,,,,
D7,,,F7,F7.fcs,,,,
D7,,,F8,F8.fcs,,,,
D7,,,F9,F9.fcs,,,,
D7,,,F10,F10.fcs,,,,
D7,,,F11,F11.fcs,,,,
D7,,,F12,F12.fcs,,,,
D7,,,G1,G1.fcs,,,,
D7,,,G2,G2.fcs,,,,
D7,,,G3,G3.fcs,,,,
D7,,,G4,G4.fcs,,,,
D7,,,G5,G5.fcs,,,,
D7,,,G6,G6.fcs,,,,
D7,,,G7,G7.fcs,,,,
D7,,,G8,G8.fcs,,,,
D7,,,G9,G9.fcs,,,,
D7,,,G10,G10.fcs,,,,
D7,,,G11,G11.fcs,,,,
D7,,,G12,G12.fcs,,,,
D7,,,H1,H1.fcs,,,,
D7,,,H2,H2.fcs,,,,
D7,,,H3,H3.fcs,,,,
D7,,,H4,H4.fcs,,,,
D7,,,H5,H5.fcs,,,,
D7,,,H6,H6.fcs,,,,
D7,,,H7,H7.fcs,,,,
D7,,,H8,H8.fcs,,,,
D7,,,H9,H9.fcs,,,,
D7,,,H10,H10.fcs,,,,
D7,,,H11,H11.fcs,,,,
D7,,,H12,H12.fcs,,,,
D9,,,A1,A1.fcs,,,,
D9,,,A2,A2.fcs,,,,
D9,,,A3,A3.fcs,,,,
D9,,,A4,A4.fcs,,,,
D9,,,A5,A5.fcs,,,,
D9,,,A6,A6.fcs,,,,
D9,,,A7,A7.fcs,,,,
D9,,,A8,A8.fcs,,,,
D9,,,A9,A9.fcs,,,,
D9,,,A10,A10.fcs,,,,
D9,,,A11,A11.fcs,,,,
D9,,,A12,A12.fcs,,,,
D9,,,B1,B1.fcs,,,,
D9,,,B2,B2.fcs,,,,
D9,,,B3,B3.fcs,,,,
D9,,,B4,B4.fcs,,,,
D9,,,B5,B5.fcs,,,,
D9,,,B6,B6.fcs,,,,
D9,,,B7,B7.fcs,,,,
D9,,,B8,B8.fcs,,,,
D9,,,B9,B9.fcs,,,,
D9,,,B10,B10.fcs,,,,
D9,,,B11,B11.fcs,,,,
D9,,,B12,B12.fcs,,,,
D9,,,C1,C1.fcs,,,,
D9,,,C2,C2.fcs,,,,
D9,,,C3,C3.fcs,,,,
D9,,,C4,C4.fcs,,,,
D9,,,C5,C5.fcs,,,,
D9,,,C6,C6.fcs,,,,
D9,,,C7,C7.fcs,,,,
D9,,,C8,C8.fcs,,,,
D9,,,C9,C9.fcs,,,,
D9,,,C10,C10.fcs,,,,
D9,,,C11,C11.fcs,,,,
D9,,,C12,C12.fcs,,,,
D9,,,D1,D1.fcs,,,,
D9,,,D2,D2.fcs,,,,
D9,,,D3,D3.fcs,,,,
D9,,,D4,D4.fcs,,,,
D9,,,D5,D5.fcs,,,,
D9,,,D6,D6.fcs,,,,
D9,,,D7,D7.fcs,,,,
D9,,,D8,D8.fcs,,,,
D9,,,D9,D9.fcs,,,,
D9,,,D10,D10.fcs,,,,
D9,,,D11,D11.fcs,,,,
D9,,,D12,D12.fcs,,,,
D9,,,E1,E1.fcs,,,,
D9,,,E2,E2.fcs,,,,
D9,,,E3,E3.fcs,,,,
D9,,,E4,E4.fcs,,,,
D9,,,E5,E5.fcs,,,,
D9,,,E6,E6.fcs,,,,
D9,,,E7,E7.fcs,,,,
D9,,,E8,E8.fcs,,,,
D9,,,E9,E9.fcs,,,,
D9,,,E10,E10.fcs,,,,
D9,,,E11,E11.fcs,,,,
D9,,,E12,E12.fcs,,,,
D9,,,F1,F1.fcs,,,,
D9,,,F2,F2.fcs,,,,
D9,,,F3,F3.fcs,,,,
D9,,,F4,F4.fcs,,,,
D9,,,F5,F5.fcs,,,,
D9,,,F6,F6.fcs,,,,
D9,,,F7,F7.fcs,,,,
D9,,,F8,F8.fcs,,,,
D9,,,F9,F9.fcs,,,,
D9,,,F10,F10.fcs,,,,
D9,,,F11,F11.fcs,,,,
D9,,,F12,F12.fcs,,,,
D9,,,G1,G1.fcs,,,,
D9,,,G2,G2.fcs,,,,
D9,,,G3,G3.fcs,,,,
D9,,,G4,G4.fcs,,,,
D9,,,G5,G5.fcs,,,,
D9,,,G6,G6.fcs,,,,
D9,,,G7,G7.fcs,,,,
D9,,,G8,G8.fcs,,,,
D9,,,G9,G9.fcs,,,,
D9,,,G10,G10.fcs,,,,
D9,,,G11,G11.fcs,,,,
D9,,,G12,G12.fcs,,,,
D9,,,H1,H1.fcs,,,,
D9,,,H2,H2.fcs,,,,
D9,,,H3,H3.fcs,,,,
D9,,,H4,H4.fcs,,,,
D9,,,H5,H5.fcs,,,,
D9,,,H6,H6.fcs,,,,
D9,,,H7,H7.fcs,,,,
D9,,,H8,H8.fcs,,,,
D9,,,H9,H9.fcs,,,,
D9,,,H10,H10.fcs,,,,
D9,,,H11,H11.fcs,,,,
D9,,,H12,H12.fcs,,,,
D11,,,A1,A1.fcs,,,,
D11,,,A2,A2.fcs,,,,
D11,,,A3,A3.fcs,,,,
D11,,,A4,A4.fcs,,,,
D11,,,A5,A5.fcs,,,,
D11,,,A6,A6.fcs,,,,
D11,,,A7,A7.fcs,,,,
D11,,,A8,A8.fcs,,,,
D11,,,A9,A9.fcs,,,,
D11,,,A10,A10.fcs,,,,
D11,,,A11,A11.fcs,,,,
D11,,,A12,A12.fcs,,,,
D11,,,B1,B1.fcs,,,,
D11,,,B2,B2.fcs,,,,
D11,,,B3,B3.fcs,,,,
D11,,,B4,B4.fcs,,,,
D11,,,B5,B5.fcs,,,,
D11,,,B6,B6.fcs,,,,
D11,,,B7,B7.fcs,,,,
D11,,,B8,B8.fcs,,,,
D11,,,B9,B9.fcs,,,,
D11,,,B10,B10.fcs,,,,
D11,,,B11,B11.fcs,,,,
D11,,,B12,B12.fcs,,,,
D11,,,C1,C1.fcs,,,,
D11,,,C2,C2.fcs,,,,
D11,,,C3,C3.fcs,,,,
D11,,,C4,C4.fcs,,,,
D11,,,C5,C5.fcs,,,,
D11,,,C6,C6.fcs,,,,
D11,,,C7,C7.fcs,,,,
D11,,,C8,C8.fcs,,,,
D11,,,C9,C9.fcs,,,,
D11,,,C10,C10.fcs,,,,
D11,,,C11,C11.fcs,,,,
D11,,,C12,C12.fcs,,,,
D11,,,D1,D1.fcs,,,,
D11,,,D2,D2.fcs,,,,
D11,,,D3,D3.fcs,,,,
D11,,,D4,D4.fcs,,,,
D11,,,D5,D5.fcs,,,,
D11,,,D6,D6.fcs,,,,
D11,,,D7,D7.fcs,,,,
D11,,,D8,D8.fcs,,,,
D11,,,D9,D9.fcs,,,,
D11,,,D10,D10.fcs,,,,
D11,,,D11,D11.fcs,,,,
D11,,,D12,D12.fcs,,,,
D11,,,E1,E1.fcs,,,,
D11,,,E2,E2.fcs,,,,
D11,,,E3,E3.fcs,,,,
D11,,,E4,E4.fcs,,,,
D11,,,E5,E5.fcs,,,,
D11,,,E6,E6.fcs,,,,
D11,,,E7,E7.fcs,,,,
D11,,,E8,E8.fcs,,,,
D11,,,E9,E9.fcs,,,,
D11,,,E10,E10.fcs,,,,
D11,,,E11,E11.fcs,,,,
D11,,,E12,E12.fcs,,,,
D11,,,F1,F1.fcs,,,,
D11,,,F2,F2.fcs,,,,
D11,,,F3,F3.fcs,,,,
D11,,,F4,F4.fcs,,,,
D11,,,F5,F5.fcs,,,,
D11,,,F6,F6.fcs,,,,
D11,,,F7,F7.fcs,,,,
D11,,,F8,F8.fcs,,,,
D11,,,F9,F9.fcs,,,,
D11,,,F10,F10.fcs,,,,
D11,,,F11,F11.fcs,,,,
D11,,,F12,F12.fcs,,,,
D11,,,G1,G1.fcs,,,,
D11,,,G2,G2.fcs,,,,
D11,,,G3,G3.fcs,,,,
D11,,,G4,G4.fcs,,,,
D11,,,G5,G5.fcs,,,,
D11,,,G6,G6.fcs,,,,
D11,,,G7,G7.fcs,,,,
D11,,,G8,G8.fcs,,,,
D11,,,G9,G9.fcs,,,,
D11,,,G10,G10.fcs,,,,
D11,,,G11,G11.fcs,,,,
D11,,,G12,G12.fcs,,,,
D11,,,H1,H1.fcs,,,,
D11,,,H2,H2.fcs,,,,
D11,,,H3,H3.fcs,,,,
D11,,,H4,H4.fcs,,,,
D11,,,H5,H5.fcs,,,,
D11,,,H6,H6.fcs,,,,
D11,,,H7,H7.fcs,,,,
D11,,,H8,H8.fcs,,,,
D11,,,H9,H9.fcs,,,,
D11,,,H10,H10.fcs,,,,
D11,,,H11,H11.fcs,,,,
D11,,,H12,H12.fcs,,,,
